"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","host","3.6.0","USB","64","","GET DESCRIPTOR Request DEVICE"
"2","0.000206","3.6.0","host","USB","82","","GET DESCRIPTOR Response DEVICE"
"3","0.000216","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000319","3.6.0","host","USB","73","","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000325","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"6","0.000563","3.6.0","host","USB","148","","GET DESCRIPTOR Response CONFIGURATION"
"7","0.779607","host","3.6.0","USBHID","154","001e000000380f030000000010ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff000000000000000000000000000000000000000000000000002400","SET_REPORT Request"
"8","0.779868","3.6.0","host","USBHID","64","","SET_REPORT Response"
"9","5.787661","host","3.6.0","USBHID","154","001f000000380f030000000010ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff000000000000000000000000000000000000000000000000002400","SET_REPORT Request"
"10","5.787986","3.6.0","host","USBHID","64","","SET_REPORT Response"
"11","6.386979","host","3.6.0","USBHID","154","0000000000380f0300000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","SET_REPORT Request"
"12","6.387211","3.6.0","host","USBHID","64","","SET_REPORT Response"
"13","6.546110","host","3.6.0","USBHID","154","0001000000380f0300000000100003000003000300000000030003030300030303000301000003000300000000030003030300030303000301000003000003000000000000000000000000000000000000000000000000002700","SET_REPORT Request"
"14","6.546384","3.6.0","host","USBHID","64","","SET_REPORT Response"
"15","6.574634","host","3.6.0","USBHID","154","0002000000380f0300000000100006000006000600000000060006060600060606000603000006000600000000060006060600060606000603000006000006000000000000000000000000000000000000000000000000002200","SET_REPORT Request"
"16","6.574974","3.6.0","host","USBHID","64","","SET_REPORT Response"
"17","6.625492","host","3.6.0","USBHID","154","0003000000380f030000000010000a00000a000a000000000a000a0a0a000a0a0a000a0500000a000a000000000a000a0a0a000a0a0a000a0500000a00000a000000000000000000000000000000000000000000000000002e00","SET_REPORT Request"
"18","6.625807","3.6.0","host","USBHID","64","","SET_REPORT Response"
"19","6.664821","host","3.6.0","USBHID","154","0004000000380f030000000010000d00000d000d000000000d000d0d0d000d0d0d000d0600000d000d000000000d000d0d0d000d0d0d000d0600000d00000d000000000000000000000000000000000000000000000000002900","SET_REPORT Request"
"20","6.665169","3.6.0","host","USBHID","64","","SET_REPORT Response"
"21","6.703900","host","3.6.0","USBHID","154","0005000000380f0300000000100011000011001100000000110011111100111111001108000011001100000000110011111100111111001108000011000011000000000000000000000000000000000000000000000000003500","SET_REPORT Request"
"22","6.704215","3.6.0","host","USBHID","64","","SET_REPORT Response"
"23","6.744412","host","3.6.0","USBHID","154","0006000000380f030000000010001400001400140000000014001414140014141400140a00001400140000000014001414140014141400140a000014000014000000000000000000000000000000000000000000000000003000","SET_REPORT Request"
"24","6.744712","3.6.0","host","USBHID","64","","SET_REPORT Response"
"25","6.785248","host","3.6.0","USBHID","154","0007000000380f030000000010001700001700170000000017001717170017171700170b00001700170000000017001717170017171700170b000017000017000000000000000000000000000000000000000000000000003300","SET_REPORT Request"
"26","6.785547","3.6.0","host","USBHID","64","","SET_REPORT Response"
"27","6.825758","host","3.6.0","USBHID","154","0008000000380f030000000010001b00001b001b000000001b001b1b1b001b1b1b001b0d00001b001b000000001b001b1b1b001b1b1b001b0d00001b00001b000000000000000000000000000000000000000000000000003f00","SET_REPORT Request"
"28","6.826075","3.6.0","host","USBHID","64","","SET_REPORT Response"
"29","6.866579","host","3.6.0","USBHID","154","0009000000380f030000000010001e00001e001e000000001e001e1e1e001e1e1e001e0f00001e001e000000001e001e1e1e001e1e1e001e0f00001e00001e000000000000000000000000000000000000000000000000003a00","SET_REPORT Request"
"30","6.866889","3.6.0","host","USBHID","64","","SET_REPORT Response"
"31","6.904601","host","3.6.0","USBHID","154","000a000000380f0300000000100022000022002200000000220022222200222222002211000022002200000000220022222200222222002211000022000022000000000000000000000000000000000000000000000000000600","SET_REPORT Request"
"32","6.904925","3.6.0","host","USBHID","64","","SET_REPORT Response"
"33","6.944522","host","3.6.0","USBHID","154","000b000000380f0300000000100025000025002500000000250025252500252525002512000025002500000000250025252500252525002512000025000025000000000000000000000000000000000000000000000000000100","SET_REPORT Request"
"34","6.944843","3.6.0","host","USBHID","64","","SET_REPORT Response"
"35","6.984318","host","3.6.0","USBHID","154","000c000000380f0300000000100028000028002800000000280028282800282828002814000028002800000000280028282800282828002814000028000028000000000000000000000000000000000000000000000000000c00","SET_REPORT Request"
"36","6.984658","3.6.0","host","USBHID","64","","SET_REPORT Response"
