"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","host","3.6.0","USB","64","","GET DESCRIPTOR Request DEVICE"
"2","0.000193","3.6.0","host","USB","82","","GET DESCRIPTOR Response DEVICE"
"3","0.000206","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000403","3.6.0","host","USB","73","","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000410","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"6","0.000630","3.6.0","host","USB","148","","GET DESCRIPTOR Response CONFIGURATION"
"7","3.098440","host","3.6.0","USBHID","154","0007000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"8","3.098766","3.6.0","host","USBHID","64","","SET_REPORT Response"
"9","8.056580","host","3.6.0","USBHID","154","0008000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"10","8.056948","3.6.0","host","USBHID","64","","SET_REPORT Response"
"11","13.062852","host","3.6.0","USBHID","154","0009000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"12","13.063183","3.6.0","host","USBHID","64","","SET_REPORT Response"
"13","18.065912","host","3.6.0","USBHID","154","000a000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"14","18.066253","3.6.0","host","USBHID","64","","SET_REPORT Response"
"15","23.090543","host","3.6.0","USBHID","154","000b000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"16","23.090818","3.6.0","host","USBHID","64","","SET_REPORT Response"
"17","26.405970","host","3.6.0","USBHID","154","000900000002008400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008600","SET_REPORT Request"
"18","26.406238","3.6.0","host","USBHID","64","","SET_REPORT Response"
"19","26.421560","host","3.6.0","USBHID","64","","GET_REPORT Request"
"20","26.421861","3.6.0","host","USBHID","154","","GET_REPORT Response"
"21","26.432064","host","3.6.0","USBHID","154","000a000000060f0200000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300","SET_REPORT Request"
"22","26.432341","3.6.0","host","USBHID","64","","SET_REPORT Response"
"23","26.442183","host","3.6.0","USBHID","64","","GET_REPORT Request"
"24","26.442468","3.6.0","host","USBHID","154","","GET_REPORT Response"
"25","26.532524","host","3.6.0","USBHID","154","000c000000380f03000000001000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb00000000000000000000000000000000000000000000000000df00","SET_REPORT Request"
"26","26.532802","3.6.0","host","USBHID","64","","SET_REPORT Response"
"27","26.573958","host","3.6.0","USBHID","154","000d000000380f03000000001003f50303f50303f50303f50303f50303f50303f50303f50303f50303f50303f50303f50303f50303f50303f50303f50303f503000000000000000000000000000000000000000000000000d100","SET_REPORT Request"
"28","26.574247","3.6.0","host","USBHID","64","","SET_REPORT Response"
"29","26.612740","host","3.6.0","USBHID","154","000e000000380f03000000001006ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef0606ef06000000000000000000000000000000000000000000000000cb00","SET_REPORT Request"
"30","26.613008","3.6.0","host","USBHID","64","","SET_REPORT Response"
