"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","host","3.6.0","USB","64","","GET DESCRIPTOR Request DEVICE"
"2","0.000191","3.6.0","host","USB","82","","GET DESCRIPTOR Response DEVICE"
"3","0.000207","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000359","3.6.0","host","USB","73","","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000368","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"6","0.000651","3.6.0","host","USB","148","","GET DESCRIPTOR Response CONFIGURATION"
"7","1.212982","host","3.6.0","USBHID","154","0010000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"8","1.213242","3.6.0","host","USBHID","64","","SET_REPORT Response"
"9","6.225022","host","3.6.0","USBHID","154","0011000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"10","6.225249","3.6.0","host","USBHID","64","","SET_REPORT Response"
"11","11.218370","host","3.6.0","USBHID","154","0012000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"12","11.218605","3.6.0","host","USBHID","64","","SET_REPORT Response"
"13","12.853269","host","3.6.0","USBHID","154","000d00000002008400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008600","SET_REPORT Request"
"14","12.853535","3.6.0","host","USBHID","64","","SET_REPORT Response"
"15","12.868250","host","3.6.0","USBHID","64","","GET_REPORT Request"
"16","12.868534","3.6.0","host","USBHID","154","","GET_REPORT Response"
"17","12.883500","host","3.6.0","USBHID","154","000e000000060f0200000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300","SET_REPORT Request"
"18","12.883768","3.6.0","host","USBHID","64","","SET_REPORT Response"
"19","12.892476","host","3.6.0","USBHID","64","","GET_REPORT Request"
"20","12.892780","3.6.0","host","USBHID","154","","GET_REPORT Response"
