"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","host","3.6.0","USB","154","0019000000380f03000000001000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff0000ff00000000000000000000000000000000000000000000000000db00","URB_CONTROL out"
"2","0.000295","3.6.0","host","USB","64","","URB_CONTROL out"
"3","2.174482","host","3.6.0","USB","154","000d00000002008400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008600","URB_CONTROL out"
"4","2.174743","3.6.0","host","USB","64","","URB_CONTROL out"
"5","2.197453","host","3.6.0","USB","64","","URB_CONTROL in"
"6","2.197726","3.6.0","host","USB","154","","URB_CONTROL in"
"7","2.200290","host","3.6.0","USB","154","000e000000060f0200000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300","URB_CONTROL out"
"8","2.200532","3.6.0","host","USB","64","","URB_CONTROL out"
"9","2.207444","host","3.6.0","USB","64","","URB_CONTROL in"
"10","2.207712","3.6.0","host","USB","154","","URB_CONTROL in"
"11","2.270193","host","3.6.0","USB","154","001a000000380f03000000001000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb0000fb00000000000000000000000000000000000000000000000000df00","URB_CONTROL out"
"12","2.270417","3.6.0","host","USB","64","","URB_CONTROL out"
"13","2.310458","host","3.6.0","USB","154","001b000000380f03000000001003f50003f50003f50003f50003f50003f50003f50003f50003f50003f50003f50003f50003f50003f50003f50003f50003f500000000000000000000000000000000000000000000000000d200","URB_CONTROL out"
"14","2.310688","3.6.0","host","USB","64","","URB_CONTROL out"
"15","2.350518","host","3.6.0","USB","154","001c000000380f03000000001006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee0006ee00000000000000000000000000000000000000000000000000cc00","URB_CONTROL out"
"16","2.350743","3.6.0","host","USB","64","","URB_CONTROL out"
"17","2.394068","host","3.6.0","USB","154","001d000000380f0300000000100de2000de2000de2000de2000de2000de2000de2000de2000de2000de2000de2000de2000de2000de2000de2000de2000de200000000000000000000000000000000000000000000000000cb00","URB_CONTROL out"
"18","2.394366","3.6.0","host","USB","64","","URB_CONTROL out"
"19","2.475674","host","3.6.0","USB","154","001e000000380f03000000001014d50014d50014d50014d50014d50014d50014d50014d50014d50014d50014d50014d50014d50014d50014d50014d50014d500000000000000000000000000000000000000000000000000e500","URB_CONTROL out"
"20","2.475898","3.6.0","host","USB","64","","URB_CONTROL out"
"21","2.518967","host","3.6.0","USB","154","001f000000380f03000000001017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce0017ce00000000000000000000000000000000000000000000000000fd00","URB_CONTROL out"
"22","2.519253","3.6.0","host","USB","64","","URB_CONTROL out"
"23","2.593065","host","3.6.0","USB","154","0000000000380f0300000000101ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec3001ec300000000000000000000000000000000000000000000000000f900","URB_CONTROL out"
"24","2.593377","3.6.0","host","USB","64","","URB_CONTROL out"
"25","2.639937","host","3.6.0","USB","154","0001000000380f03000000001022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd0022bd00000000000000000000000000000000000000000000000000bb00","URB_CONTROL out"
"26","2.640222","3.6.0","host","USB","64","","URB_CONTROL out"
"27","2.708271","host","3.6.0","USB","154","0002000000380f03000000001025b70025b70025b70025b70025b70025b70025b70025b70025b70025b70025b70025b70025b70025b70025b70025b70025b700000000000000000000000000000000000000000000000000b600","URB_CONTROL out"
"28","2.708504","3.6.0","host","USB","64","","URB_CONTROL out"
"29","2.748679","host","3.6.0","USB","154","0003000000380f03000000001028b10028b10028b10028b10028b10028b10028b10028b10028b10028b10028b10028b10028b10028b10028b10028b10028b100000000000000000000000000000000000000000000000000bd00","URB_CONTROL out"
"30","2.748946","3.6.0","host","USB","64","","URB_CONTROL out"
"31","2.791183","host","3.6.0","USB","154","0004000000380f0300000000102cac002cac002cac002cac002cac002cac002cac002cac002cac002cac002cac002cac002cac002cac002cac002cac002cac00000000000000000000000000000000000000000000000000a400","URB_CONTROL out"
"32","2.791442","3.6.0","host","USB","64","","URB_CONTROL out"
"33","2.832745","host","3.6.0","USB","154","0005000000380f03000000001033a00033a00033a00033a00033a00033a00033a00033a00033a00033a00033a00033a00033a00033a00033a00033a00033a000000000000000000000000000000000000000000000000000b700","URB_CONTROL out"
"34","2.833033","3.6.0","host","USB","64","","URB_CONTROL out"
"35","2.873834","host","3.6.0","USB","154","0006000000380f030000000010369b00369b00369b00369b00369b00369b00369b00369b00369b00369b00369b00369b00369b00369b00369b00369b00369b000000000000000000000000000000000000000000000000008900","URB_CONTROL out"
"36","2.874126","3.6.0","host","USB","64","","URB_CONTROL out"
"37","2.914628","host","3.6.0","USB","154","0007000000380f0300000000103996003996003996003996003996003996003996003996003996003996003996003996003996003996003996003996003996000000000000000000000000000000000000000000000000008b00","URB_CONTROL out"
"38","2.914912","3.6.0","host","USB","64","","URB_CONTROL out"
