"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","host","3.6.0","USB","154","000b000000380f0300000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"2","0.000316","3.6.0","host","USB","64","","URB_CONTROL out"
"3","0.036422","host","3.6.0","USB","154","000c000000380f0300000000100003000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"4","0.036708","3.6.0","host","USB","64","","URB_CONTROL out"
"5","0.105752","host","3.6.0","USB","154","000d000000380f0300000000100006000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"6","0.106076","3.6.0","host","USB","64","","URB_CONTROL out"
"7","0.148906","host","3.6.0","USB","154","000e000000380f030000000010000a00000a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"8","0.149254","3.6.0","host","USB","64","","URB_CONTROL out"
"9","0.186708","host","3.6.0","USB","154","000f000000380f030000000010000d00000d000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"10","0.186993","3.6.0","host","USB","64","","URB_CONTROL out"
"11","0.229923","host","3.6.0","USB","154","0010000000380f0300000000100011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"12","0.230258","3.6.0","host","USB","64","","URB_CONTROL out"
"13","0.273487","host","3.6.0","USB","154","0011000000380f0300000000100014000014000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"14","0.273835","3.6.0","host","USB","64","","URB_CONTROL out"
"15","0.314218","host","3.6.0","USB","154","0012000000380f0300000000100017000017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"16","0.314544","3.6.0","host","USB","64","","URB_CONTROL out"
"17","0.354102","host","3.6.0","USB","154","0013000000380f030000000010001b00001b000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"18","0.354448","3.6.0","host","USB","64","","URB_CONTROL out"
"19","0.394841","host","3.6.0","USB","154","0014000000380f030000000010001e00001e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"20","0.395267","3.6.0","host","USB","64","","URB_CONTROL out"
"21","0.434599","host","3.6.0","USB","154","0015000000380f0300000000100022000022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"22","0.434918","3.6.0","host","USB","64","","URB_CONTROL out"
"23","0.475350","host","3.6.0","USB","154","0016000000380f0300000000100025000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"24","0.475660","3.6.0","host","USB","64","","URB_CONTROL out"
"25","0.515435","host","3.6.0","USB","154","0017000000380f0300000000100028000028000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"26","0.515774","3.6.0","host","USB","64","","URB_CONTROL out"
"27","0.555423","host","3.6.0","USB","154","0018000000380f030000000010002c00002c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"28","0.555765","3.6.0","host","USB","64","","URB_CONTROL out"
"29","0.596169","host","3.6.0","USB","154","0019000000380f030000000010002f00002f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"30","0.596414","3.6.0","host","USB","64","","URB_CONTROL out"
"31","0.627412","host","3.6.0","USB","154","001a000000380f0300000000100033000033000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"32","0.627693","3.6.0","host","USB","64","","URB_CONTROL out"
"33","0.665885","host","3.6.0","USB","154","001b000000380f0300000000100036000036000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"34","0.666152","3.6.0","host","USB","64","","URB_CONTROL out"
"35","0.705793","host","3.6.0","USB","154","001c000000380f0300000000100039000039000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"36","0.706078","3.6.0","host","USB","64","","URB_CONTROL out"
"37","0.747519","host","3.6.0","USB","154","001d000000380f0300000000100040000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"38","0.747828","3.6.0","host","USB","64","","URB_CONTROL out"
"39","0.827923","host","3.6.0","USB","154","001e000000380f0300000000100044000044000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002400","URB_CONTROL out"
"40","0.828348","3.6.0","host","USB","64","","URB_CONTROL out"
